P3 | 192 | Позиция маркирована | Маркер #12
T3 - F | 192 | Переход завершил работу | Маркер #12
T2 - J | 192 | Маркер иниц. срабатывание перехода | Маркер #11
T4 - X | 192 | Маркер иниц. срабатывание перехода | Маркер #12
P3 | 193 | Маркер покинул позицию | Маркер #12
P5 | 193 | Позиция маркирована | Маркер #12
T4 - X | 193 | Переход завершил работу | Маркер #12
P1 | 193 | Позиция маркирована | Маркер #11
Q1 | 193 | Маркер покинул очередь | Маркер #11
P2 | 193 | Маркер покинул позицию | Маркер #12
T2 - J | 193 | Переход завершил работу | Маркер #11
T1 - Y | 193 | Маркер иниц. срабатывание перехода | Маркер #12
T3 - F | 193 | Маркер иниц. срабатывание перехода | Маркер #11
P5 | 194 | Маркер покинул позицию | Маркер #12
Q1 | 194 | В очередь добавлен маркер | Маркер #12
T1 - Y | 194 | Переход завершил работу | Маркер #12
G1 | 196 | Сгенерирован маркер | Маркер #14
Маркер #14 | 196 | Session = 10,0532262423076
T1 - Y | 196 | Маркер иниц. срабатывание перехода | Маркер #14
G1 | 197 | Маркер покинул генератор | Маркер #14
Q1 | 197 | В очередь добавлен маркер | Маркер #14
T1 - Y | 197 | Переход завершил работу | Маркер #14
Маркер #11 | 202 | Session = -6,97932658204809
P1 | 202 | Маркер покинул позицию | Маркер #11
P2 | 202 | Позиция маркирована | Маркер #11
P3 | 202 | Позиция маркирована | Маркер #11
T3 - F | 202 | Переход завершил работу | Маркер #11
T2 - J | 202 | Маркер иниц. срабатывание перехода | Маркер #13
T4 - X | 202 | Маркер иниц. срабатывание перехода | Маркер #11
P3 | 203 | Маркер покинул позицию | Маркер #11
P4 | 203 | Позиция маркирована | Маркер #11
T4 - X | 203 | Переход завершил работу | Маркер #11
P1 | 203 | Позиция маркирована | Маркер #13
Q1 | 203 | Маркер покинул очередь | Маркер #13
P2 | 203 | Маркер покинул позицию | Маркер #11
T2 - J | 203 | Переход завершил работу | Маркер #13
T3 - F | 203 | Маркер иниц. срабатывание перехода | Маркер #13
P4 | 203 | Маркер уничтожен из конечной позиции | Маркер #11
Маркер #13 | 212 | Session = 1,78984887106344
P1 | 212 | Маркер покинул позицию | Маркер #13
P2 | 212 | Позиция маркирована | Маркер #13
P3 | 212 | Позиция маркирована | Маркер #13
T3 - F | 212 | Переход завершил работу | Маркер #13
T2 - J | 212 | Маркер иниц. срабатывание перехода | Маркер #12
T4 - X | 212 | Маркер иниц. срабатывание перехода | Маркер #13
P3 | 213 | Маркер покинул позицию | Маркер #13
P5 | 213 | Позиция маркирована | Маркер #13
T4 - X | 213 | Переход завершил работу | Маркер #13
P1 | 213 | Позиция маркирована | Маркер #12
Q1 | 213 | Маркер покинул очередь | Маркер #12
P2 | 213 | Маркер покинул позицию | Маркер #13
T2 - J | 213 | Переход завершил работу | Маркер #12
T1 - Y | 213 | Маркер иниц. срабатывание перехода | Маркер #13
T3 - F | 213 | Маркер иниц. срабатывание перехода | Маркер #12
G1 | 214 | Сгенерирован маркер | Маркер #15
Маркер #15 | 214 | Session = 9,19902946567163
P5 | 214 | Маркер покинул позицию | Маркер #13
Q1 | 214 | В очередь добавлен маркер | Маркер #13
T1 - Y | 214 | Переход завершил работу | Маркер #13
T1 - Y | 214 | Маркер иниц. срабатывание перехода | Маркер #15
G1 | 215 | Маркер покинул генератор | Маркер #15
Q1 | 215 | В очередь добавлен маркер | Маркер #15
T1 - Y | 215 | Переход завершил работу | Маркер #15
Маркер #12 | 222 | Session = -3,83980678347871
P1 | 222 | Маркер покинул позицию | Маркер #12
P2 | 222 | Позиция маркирована | Маркер #12
P3 | 222 | Позиция маркирована | Маркер #12
T3 - F | 222 | Переход завершил работу | Маркер #12
T2 - J | 222 | Маркер иниц. срабатывание перехода | Маркер #14
T4 - X | 222 | Маркер иниц. срабатывание перехода | Маркер #12
P3 | 223 | Маркер покинул позицию | Маркер #12
